요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
토요일,5,2524,영등포구청,상선,12.0,23.0,12.0,8.0,8.0,11.0,14.0,16.0,22.0,27.0,28.0,31.0,38.0,32.0,45.0,43.0,46.0,51.0,50.0,53.0,56.0,53.0,65.0,48.0,42.0,37.0,36.0,43.0,41.0,52.0,56.0,51.0,42.0,42.0,43.0,59.0,52.0,,
토요일,5,2524,영등포구청,하선,21.0,20.0,20.0,16.0,17.0,22.0,25.0,30.0,33.0,51.0,44.0,50.0,53.0,52.0,55.0,51.0,51.0,54.0,51.0,46.0,45.0,42.0,41.0,28.0,22.0,17.0,14.0,16.0,15.0,18.0,19.0,15.0,11.0,14.0,16.0,16.0,11.0,0.0,
토요일,5,2525,영등포시장,상선,6.0,15.0,9.0,7.0,6.0,8.0,10.0,11.0,16.0,23.0,21.0,25.0,29.0,25.0,35.0,35.0,36.0,41.0,41.0,42.0,44.0,43.0,50.0,42.0,34.0,29.0,30.0,32.0,31.0,40.0,42.0,42.0,33.0,32.0,32.0,39.0,37.0,,
토요일,5,2525,영등포시장,하선,21.0,20.0,20.0,15.0,17.0,23.0,23.0,30.0,32.0,49.0,43.0,50.0,52.0,51.0,52.0,52.0,50.0,54.0,51.0,47.0,47.0,43.0,44.0,29.0,24.0,18.0,15.0,18.0,16.0,19.0,21.0,19.0,12.0,14.0,16.0,16.0,9.0,0.0,
토요일,5,2526,신길,상선,7.0,15.0,9.0,7.0,7.0,9.0,11.0,13.0,16.0,24.0,22.0,28.0,31.0,28.0,39.0,40.0,36.0,43.0,42.0,45.0,45.0,43.0,50.0,40.0,35.0,27.0,28.0,32.0,32.0,39.0,42.0,43.0,33.0,32.0,31.0,41.0,40.0,,
토요일,5,2526,신길,하선,24.0,24.0,21.0,16.0,18.0,25.0,25.0,32.0,35.0,53.0,48.0,56.0,58.0,53.0,61.0,57.0,56.0,60.0,57.0,51.0,54.0,47.0,50.0,32.0,27.0,20.0,17.0,19.0,17.0,20.0,22.0,19.0,13.0,15.0,17.0,16.0,9.0,0.0,
토요일,5,2527,여의도,상선,5.0,15.0,9.0,7.0,8.0,9.0,11.0,13.0,17.0,24.0,25.0,30.0,32.0,32.0,40.0,43.0,38.0,49.0,46.0,50.0,50.0,52.0,55.0,44.0,38.0,31.0,30.0,36.0,36.0,45.0,50.0,48.0,37.0,37.0,36.0,45.0,27.0,,
토요일,5,2527,여의도,하선,20.0,21.0,17.0,13.0,15.0,20.0,21.0,25.0,29.0,44.0,40.0,48.0,52.0,48.0,56.0,53.0,53.0,59.0,57.0,51.0,54.0,49.0,56.0,38.0,31.0,24.0,21.0,24.0,23.0,28.0,31.0,27.0,16.0,19.0,20.0,20.0,12.0,0.0,
토요일,5,2528,여의나루,상선,8.0,16.0,11.0,8.0,8.0,11.0,12.0,16.0,18.0,30.0,31.0,36.0,38.0,34.0,44.0,44.0,41.0,50.0,47.0,50.0,50.0,50.0,52.0,41.0,35.0,28.0,27.0,32.0,30.0,39.0,41.0,42.0,32.0,34.0,31.0,41.0,24.0,,
토요일,5,2528,여의나루,하선,20.0,20.0,16.0,11.0,13.0,17.0,19.0,25.0,28.0,43.0,40.0,49.0,51.0,45.0,54.0,51.0,50.0,54.0,54.0,50.0,54.0,49.0,58.0,39.0,32.0,25.0,25.0,28.0,27.0,34.0,41.0,33.0,21.0,24.0,24.0,24.0,15.0,0.0,
토요일,5,2529,마포,상선,8.0,16.0,13.0,9.0,10.0,14.0,14.0,18.0,21.0,33.0,34.0,42.0,42.0,40.0,51.0,48.0,50.0,59.0,57.0,58.0,56.0,58.0,57.0,44.0,36.0,29.0,26.0,31.0,28.0,35.0,36.0,37.0,28.0,28.0,28.0,37.0,24.0,,
